month,sheet_sales,sheet_revenue,un_orders,un_subtotal_exvat,count_delta
2024-01,,,,,
2024-02,,,,,
2024-03,,,1.0,4300.0,
2024-04,,,5.0,11415.0,
2024-05,,,1.0,5708.0,
2024-06,,,1.0,12855.0,
2024-07,,,1.0,1301.0,
2024-08,179.0,347247.59,4.0,22942.0,175.0
2024-09,238.0,463941.15,2.0,9482.0,236.0
2024-10,248.0,500149.78,24.0,90363.0,224.0
2024-11,281.0,553851.79,86.0,238811.0,195.0
2024-12,184.0,228801.93,31.0,96893.0,153.0
2025-01,152.0,440213.16,295.0,942305.0,-143.0
2025-02,88.0,282163.31,126.0,395489.0,-38.0
2025-03,83.0,241243.92,102.0,280456.0,-19.0
2025-04,137.0,495178.75,156.0,546450.0,-19.0
2025-05,51.0,180777.83,59.0,200904.0,-8.0
2025-06,88.0,383435.56,87.0,363044.0,1.0
2025-07,118.0,366098.41,132.0,424708.0,-14.0
2025-08,,,150.0,472858.0,
2025-09,,,157.0,471511.0,
2025-10,,,172.0,437354.0,
2025-11,,,224.0,577423.0,
2025-12,,,100.0,261354.0,
2026-01,133.0,392236.47,184.0,453139.0,-51.0
2026-02,113.0,344706.55,150.0,381129.0,-37.0
2026-03,121.0,374623.58,147.0,388478.0,-26.0
2026-04,145.0,506972.01,175.0,553786.0,-30.0
2026-05,72.0,235146.75,81.0,249938.0,-9.0
2026-06,105.0,425614.87,115.0,399579.0,-10.0
2026-07,33.0,129578.74,43.0,134917.0,-10.0
