dataset,table,rows,mb,last_modified,date_min,date_max
bronze,_dlt_loads,36787,3.3,2026-07-16 10:52:44,,
bronze,_dlt_pipeline_state,67,0.0,2026-07-16 06:01:42,,
bronze,_dlt_version,29,0.6,2026-07-13 08:45:26,,
bronze,ascend_calls,4284,1.6,2026-07-16 10:52:18,2026-07-01,2026-07-16
bronze,ascend_transcripts,39,0.2,2026-07-04 23:27:17,ERR: 400 Unrecognized name: call_start; Did you mean call_time? a,
bronze,bing_adsaccount_performance_report_daily,32862,14.3,2026-07-16 09:18:36,2025-01-01,2026-07-16
bronze,bing_adsaccounts,1,0.0,2026-07-16 09:19:31,,
bronze,bing_adsad_group_labels,0,0.0,2026-05-20 14:39:54,,
bronze,bing_adsad_group_performance_report_daily,51219,32.1,2026-07-16 09:19:30,,
bronze,bing_adsad_groups,127,0.0,2026-07-16 09:18:40,,
bronze,bing_adsad_performance_report_daily,71489,41.6,2026-07-16 09:18:41,,
bronze,bing_adsads,185,0.3,2026-07-16 09:18:53,,
bronze,bing_adscampaign_labels,374,0.0,2026-07-16 09:18:59,,
bronze,bing_adscampaign_performance_report_daily,47966,29.7,2026-07-16 09:19:15,2025-01-01,2026-07-16
bronze,bing_adscampaigns,20,0.0,2026-07-16 09:19:12,,
bronze,bing_adskeyword_labels,0,0.0,2026-05-20 14:39:52,,
bronze,bing_adskeyword_performance_report_daily,179371,172.5,2026-07-16 09:19:09,,
bronze,bing_adskeywords,85123,27.5,2026-07-16 09:18:51,,
bronze,ga4_api_demographics_daily,10976,0.7,2026-07-16 09:00:42,,
bronze,ga4_api_events_daily,168566,15.0,2026-07-16 09:00:42,,
bronze,ga4_api_geographic_daily,456447,42.9,2026-07-16 09:00:43,"ERR: 400 Invalid timestamp: '20260709'; reason: invalidQuery, loc",
bronze,ga4_api_landing_pages_daily,497000,104.1,2026-07-16 09:00:43,,
bronze,ga4_api_pages_daily,99651,9.6,2026-07-16 09:00:42,,
bronze,ga4_api_sessions_daily,71809,9.1,2026-07-16 09:00:41,,
bronze,ga4_api_temporal_daily,84207,6.3,2026-07-16 09:00:43,"ERR: 400 Invalid timestamp: '20260618'; reason: invalidQuery, loc",
bronze,google_ads_api_campaign_daily,53025,9.4,2026-07-16 09:00:31,2020-01-02,2026-07-16
bronze,google_ads_api_geo_target_constants,7639,0.8,2026-07-16 09:00:28,,
bronze,meta_api_campaign_daily,11057,2.6,2026-07-16 09:00:31,2023-06-24,2026-07-16
bronze,meta_api_geographic_daily,765,0.1,2026-07-16 09:00:32,2026-06-04,2026-07-16
bronze,sharpspring_campaigns,66,0.0,2026-07-16 10:19:31,,
bronze,sharpspring_deal_stages,9,0.0,2026-07-16 10:19:31,,
bronze,sharpspring_fields,276,0.0,2026-07-16 10:19:31,,
bronze,sharpspring_fields__options,308,0.0,2026-07-16 10:19:31,,
bronze,sharpspring_leads,58886,56.4,2026-07-16 10:19:55,2018-04-27,2026-07-16
bronze,sharpspring_notes,169676,62.7,2026-07-16 04:49:37,2018-05-31,2026-07-15
bronze,sharpspring_opportunities,6452,1.3,2026-07-16 10:19:32,2018-04-27,2026-07-16
bronze,unleashed_customers,10803,5.8,2026-07-16 06:01:51,,
bronze,unleashed_customers__addresses,13650,2.5,2026-07-16 06:01:52,,
bronze,unleashed_products,887,0.7,2026-07-16 06:01:56,,
bronze,unleashed_products__images,272,0.1,2026-07-16 06:01:58,,
bronze,unleashed_products__inventory_details,1746,0.2,2026-07-16 06:01:57,,
bronze,unleashed_purchase_orders,1000,1.0,2026-07-16 06:01:50,2025-01-03,2026-07-13
bronze,unleashed_purchase_orders__purchase_order_lines,4431,2.1,2026-07-16 06:01:55,,
bronze,unleashed_sales_orders,3381,3.9,2026-07-16 06:01:52,2024-03-20,2026-07-15
bronze,unleashed_sales_orders__sales_order_lines,16902,7.2,2026-07-16 06:01:53,,
bronze,unleashed_stock_on_hand,738,0.2,2026-07-16 06:01:41,,
bronze,wildix_call_history,14,0.0,2026-07-16 10:52:43,ERR: 400 Unrecognized name: start_time at [1:34]; reason: invalid,
bronze,wildix_call_history__attachments__recordings,6,0.0,2026-07-16 10:52:43,,
bronze,wildix_calls,149092,134.5,2026-07-10 14:47:27,NaT,NaT
bronze,wildix_colleagues,14,0.0,2026-07-16 10:52:43,,
bronze,wildix_contacts,100,0.0,2026-07-16 10:52:43,,
bronze,wildix_departments,7,0.0,2026-07-16 10:52:43,,
bronze,wildix_departments__users,28,0.0,2026-07-16 10:52:43,,
bronze,wildix_groups,4,0.0,2026-07-16 10:52:43,,
bronze,wildix_transcripts,183,0.9,2026-06-17 14:32:35,,
silver,campaign_platform_mapping,3,0.0,2026-07-16 10:09:21,,
silver,domain_city_mapping,158,0.0,2026-07-16 10:09:23,,
silver,postcode_area_region,121,0.0,2026-07-16 10:09:22,,
silver,sales_rep_mapping,11,0.0,2026-07-16 10:20:11,,
silver,silver_bing_spend,562,0.0,2026-07-16 10:20:04,,
silver,silver_google_ads_spend,21736,2.8,2026-07-16 10:20:04,,
silver,silver_meta_geographic,745,0.1,2026-07-16 10:09:16,,
silver,silver_meta_spend,11057,1.8,2026-07-16 10:20:04,,
silver,silver_sharpspring_campaigns,66,0.0,2026-07-16 10:20:04,,
silver,silver_sharpspring_deal_stages,9,0.0,2026-07-16 10:20:06,,
silver,silver_sharpspring_leads,58886,47.4,2026-07-16 10:20:09,,
silver,silver_sharpspring_notes,169676,52.9,2026-07-16 10:20:08,,
silver,silver_sharpspring_opportunities,6452,1.2,2026-07-16 10:20:07,,
silver,silver_unleashed_customers,10803,3.0,2026-07-16 10:09:19,,
silver,silver_unleashed_products,887,0.3,2026-07-16 10:09:18,,
silver,silver_unleashed_sales_orders,3381,1.8,2026-07-16 10:09:20,,
silver,silver_unleashed_stock_on_hand,738,0.2,2026-07-16 10:09:19,,
