month,leads,no_phone_pct,no_real_email_pct,postcode_pct,city_pct,region_pct,gclid_pct,blank_status_pct
2024-08,1444,2.3,10.8,22.4,17.2,15.2,1.4,2.5
2024-09,2015,1.7,10.6,19.9,15.2,11.3,13.3,2.5
2024-10,2030,2.0,10.4,21.4,14.8,14.4,20.9,1.5
2024-11,2281,1.9,9.3,16.5,14.4,10.3,30.5,1.4
2024-12,1124,0.6,9.9,17.3,11.7,10.9,46.8,0.1
2025-01,1967,1.4,6.8,18.2,11.4,14.4,42.5,0.1
2025-02,1753,1.8,7.8,20.1,13.3,13.5,46.3,0.4
2025-03,1708,1.9,7.8,16.9,10.9,13.8,37.6,1.1
2025-04,1715,1.2,5.0,15.6,11.5,13.9,37.2,0.2
2025-05,1819,1.0,3.9,12.7,10.8,12.9,27.6,0.2
2025-06,2029,1.2,3.8,10.8,9.9,13.6,22.6,0.0
2025-07,1125,1.5,6.0,13.8,11.6,38.6,27.3,0.2
2025-08,945,0.2,7.9,9.5,12.3,98.0,36.2,0.1
2025-09,1713,0.9,7.6,6.9,11.3,97.7,28.9,0.2
2025-10,1831,1.0,8.9,7.6,11.2,94.1,24.1,0.3
2025-11,1857,0.9,5.9,9.9,13.0,92.6,26.2,1.3
2025-12,1244,1.2,7.6,9.3,12.5,96.6,31.4,2.7
2026-01,2205,1.0,5.6,7.9,11.7,96.5,30.3,0.2
2026-02,1545,0.3,8.0,5.7,10.4,91.9,34.5,0.2
2026-03,1128,0.7,9.2,7.0,11.2,94.2,16.1,0.8
2026-04,1134,4.5,5.4,8.1,12.9,82.1,13.3,1.9
2026-05,899,0.6,6.2,8.0,14.3,97.4,15.2,0.1
2026-06,906,1.7,10.5,8.6,15.5,88.9,9.9,10.4
2026-07,392,0.5,16.8,19.6,5.1,75.8,12.8,11.5
