month,spend,leads,appts,sold,revenue,cpl,cpa,mix_google
2024-08,57253.0,1333,274,14,67520.0,43.0,209.0,
2024-09,59557.0,1953,354,36,161200.0,30.0,168.0,
2024-10,62806.0,1951,351,69,250779.0,32.0,179.0,
2024-11,62597.0,2136,352,121,390553.0,29.0,178.0,
2024-12,34831.0,1098,188,42,137029.0,32.0,185.0,
2025-01,48793.0,1917,377,88,323664.0,25.0,129.0,
2025-02,50187.0,1677,389,72,278525.0,30.0,129.0,
2025-03,74110.0,1625,301,57,187723.0,46.0,246.0,
2025-04,76584.0,1666,285,82,264503.0,46.0,269.0,
2025-05,74714.0,1797,260,58,214389.0,42.0,287.0,
2025-06,76097.0,1995,282,72,261564.0,38.0,270.0,
2025-07,60829.0,1098,241,57,181119.0,55.0,252.0,
2025-08,52535.0,925,224,75,248550.0,57.0,235.0,
2025-09,69096.0,1658,341,108,289744.0,42.0,203.0,
2025-10,84363.0,1792,351,98,302553.0,47.0,240.0,
2025-11,78435.0,1816,381,118,376137.0,43.0,206.0,
2025-12,57117.0,1201,217,57,211621.0,48.0,263.0,
2026-01,88813.0,2130,401,109,371115.0,42.0,221.0,
2026-02,79068.0,1480,321,88,302128.0,53.0,246.0,
2026-03,92388.0,1066,261,48,188491.0,87.0,354.0,
2026-04,90427.0,1047,281,80,273658.0,86.0,322.0,
2026-05,72815.0,878,229,48,183273.0,83.0,318.0,
2026-06,63521.0,837,203,38,155936.0,76.0,313.0,
2026-07,32142.0,374,102,6,26880.0,86.0,315.0,
