campaign_name,spend,clicks,utm_leads,utm_appts,cpl_utm,cpa_utm
Pmax - GENERAL,138240.0,214312,,,,
Pmax - REGION - Northern England,71937.0,90461,,,,
Search - GENERAL - Storage Heaters,52555.0,18961,,,,
[Out] Pmax - General,41672.0,69356,,,,
Pmax - REGION - Midlands,34176.0,32841,,,,
Search - GENERAL - Branded,28214.0,18769,,,,
Pmax - GENERAL - Retargeting,25094.0,35580,,,,
[In] Pmax - Cornwall + SW (Niall),20637.0,24172,,,,
Pmax - REGION - Yorkshire,16978.0,17693,,,,
Search - GENERAL - Electric Radiators,15731.0,7026,,,,
[Out] Search - Storage Heaters,15398.0,7967,,,,
Pmax - REGION - Scotland,12616.0,16392,,,,
[In] Search - Midlands,9400.0,4039,,,,
[Out] Pmax - Northern,9333.0,13378,,,,
[In]  Pmax - Wales,8944.0,6786,,,,
Pmax - REGION - London,8940.0,10362,,,,
Search - GENERAL  - Electric Heaters,8800.0,4163,,,,
[Out] Pmax - midlands,8314.0,11395,,,,
Pmax - REGION - South West,7638.0,8917,,,,
[In]  Pmax - East of England,7132.0,6664,,,,
Pmax - REGION - North East,6531.0,7722,,,,
[In] Search - England - Electric heating,6309.0,2257,,,,
[Out] Pmax - Cornwall,6012.0,7825,,,,
Pmax - REGION - Wales,4470.0,4845,,,,
[Out] Pmax - London,4458.0,6482,,,,
Search - REGION - Northern England,4269.0,1157,,,,
[Out]-Electric heaters terms,4006.0,2459,,,,
[Out]  Search - England - electric radiators,3830.0,2163,,,,
[Out] Pmax - retargeting,3734.0,6354,,,,
[Out] Search - Electric Heating Only,3556.0,1628,,,,
[Out]-Yorkshire,3180.0,3009,,,,
[In] Pmax - General - UK competitor,2734.0,2199,,,,
Search - REGION - Yorkshire,2707.0,669,,,,
[In]  Pmax - Oxfordshire,2639.0,2128,,,,
[In]-Oxfordhsire + EoE,1627.0,548,,,,
Search - REGION -  Midlands,1392.0,481,,,,
Search - REGION - South West,1367.0,333,,,,
[In] Search - Wales,1172.0,351,,,,
Pmax - GENERAL #3,982.0,669,,,,
[Out]  Pmax - Wales,962.0,1217,,,,
[Out]  Pmax - East of England,923.0,926,,,,
[Out]  Pmax - Scotland,791.0,900,,,,
Search - REGION - Wales,781.0,214,,,,
[Out] Search - England - Electric heating terms (exact),670.0,339,,,,
[Out] Search - Midlands,606.0,283,,,,
[Full] Search-testing new terms,531.0,345,,,,
Search Max -Branded Term,515.0,226,,,,
[Out]  Pmax - Oxfordshire,511.0,488,,,,
