month,platform,spend,clicks,leads,appts,sold,revenue,cpc,cpl,cpa,cps,roas
2024-08,Bing,,,18,5,0,,,,,,
2024-08,Google,29084.0,37008,524,140,5,15855.0,0.79,56.0,208.0,5817.0,0.55
2024-08,Meta,28169.0,79832,791,129,9,51665.0,0.35,36.0,218.0,3130.0,1.83
2024-08,Organic/Other,,,73,19,1,5366.0,,,,,
2024-09,Bing,,,36,12,2,8652.0,,,,,
2024-09,Google,33327.0,60098,961,209,25,132606.0,0.55,35.0,159.0,1333.0,3.98
2024-09,Meta,26230.0,91680,956,133,9,19942.0,0.29,27.0,197.0,2914.0,0.76
2024-09,Organic/Other,,,30,11,1,2214.0,,,,,
2024-10,Bing,,,56,16,5,23038.0,,,,,
2024-10,Google,36169.0,49675,977,210,44,169728.0,0.73,37.0,172.0,822.0,4.69
2024-10,Meta,26637.0,64038,918,125,20,58013.0,0.42,29.0,213.0,1332.0,2.18
2024-10,Organic/Other,,,46,14,4,13271.0,,,,,
2024-11,Bing,,,98,16,9,41392.0,,,,,
2024-11,Google,35860.0,59165,1226,233,85,260942.0,0.61,29.0,154.0,422.0,7.28
2024-11,Meta,26737.0,60960,812,103,27,88219.0,0.44,33.0,260.0,990.0,3.3
2024-11,Organic/Other,,,122,13,3,6615.0,,,,,
2024-12,Bing,,,37,5,1,6039.0,,,,,
2024-12,Google,23168.0,31600,723,138,37,122558.0,0.73,32.0,168.0,626.0,5.29
2024-12,Meta,11663.0,30790,338,45,4,8432.0,0.38,35.0,259.0,2916.0,0.72
2024-12,Organic/Other,,,16,6,1,4783.0,,,,,
2025-01,Bing,2645.0,1572,52,14,6,19626.0,1.68,51.0,189.0,441.0,7.42
2025-01,Google,33704.0,56648,1267,279,64,240266.0,0.59,27.0,121.0,527.0,7.13
2025-01,Meta,12444.0,38498,598,84,18,63772.0,0.32,21.0,148.0,691.0,5.12
2025-01,Organic/Other,,,41,11,4,6326.0,,,,,
2025-02,Bing,2339.0,1524,54,11,7,32124.0,1.53,43.0,213.0,334.0,13.73
2025-02,Google,33718.0,48587,1164,288,51,200637.0,0.69,29.0,117.0,661.0,5.95
2025-02,Meta,14130.0,37115,459,90,14,45764.0,0.38,31.0,157.0,1009.0,3.24
2025-02,Organic/Other,,,59,12,2,3365.0,,,,,
2025-03,Bing,4257.0,2471,75,19,1,1602.0,1.72,57.0,224.0,4257.0,0.38
2025-03,Google,45936.0,50852,954,190,47,155111.0,0.9,48.0,242.0,977.0,3.38
2025-03,Meta,23917.0,47070,596,92,9,31010.0,0.51,40.0,260.0,2657.0,1.3
2025-03,Organic/Other,,,66,7,3,6745.0,,,,,
2025-04,Bing,4384.0,2456,71,17,5,11955.0,1.79,62.0,258.0,877.0,2.73
2025-04,Google,45436.0,54266,886,175,56,199441.0,0.84,51.0,260.0,811.0,4.39
