month,leads,reached_pct,appt_pct,appt_to_sale_pct
2024-08,1406,69.1,20.8,5.1
2024-09,1983,65.2,18.4,10.1
2024-10,1997,70.3,18.3,20.0
2024-11,2258,76.9,16.2,33.7
2024-12,1114,78.4,17.4,21.6
2025-01,1958,80.9,19.8,23.7
2025-02,1736,79.7,23.1,18.5
2025-03,1691,78.1,18.2,19.2
2025-04,1709,77.2,17.0,27.9
2025-05,1811,75.1,14.6,23.0
2025-06,2023,74.2,14.1,25.3
2025-07,1115,78.7,21.7,21.5
2025-08,934,81.5,24.2,34.5
2025-09,1696,75.8,21.0,32.3
2025-10,1813,74.8,19.8,27.9
2025-11,1846,72.0,21.1,31.0
2025-12,1218,67.7,18.4,25.9
2026-01,2178,72.3,18.9,27.2
2026-02,1526,73.1,22.1,27.0
2026-03,1100,74.5,25.0,19.6
2026-04,1120,71.3,26.3,27.5
2026-05,889,77.4,26.1,20.7
2026-06,896,62.5,23.5,19.0
2026-07,390,58.2,26.7,5.8
