q,platform,leads,reached_pct,appt_pct,reached_to_appt_pct,appt_to_sale_pct,lead_to_sale_pct
2024-Q3,Google,1485,73.3,23.5,32.0,8.6,2.0
2024-Q3,Meta,1747,61.0,15.0,24.6,6.9,1.0
2024-Q3,Organic/Other,103,72.8,29.1,40.0,6.7,1.9
2024-Q4,Bing,191,85.3,19.4,22.7,40.5,7.9
2024-Q4,Google,2926,77.1,19.9,25.8,28.2,5.6
2024-Q4,Meta,2068,70.0,13.2,18.9,18.7,2.5
2024-Q4,Organic/Other,184,80.4,17.9,22.3,24.2,4.3
2025-Q1,Bing,181,87.3,24.3,27.8,31.8,7.7
2025-Q1,Google,3385,80.8,22.4,27.7,21.4,4.8
2025-Q1,Meta,1653,77.5,16.1,20.8,15.4,2.5
2025-Q1,Organic/Other,166,69.3,18.1,26.1,26.7,4.8
2025-Q2,Bing,151,82.1,27.2,33.1,31.7,8.6
2025-Q2,Google,2364,79.1,19.6,24.8,26.3,5.2
2025-Q2,Meta,2943,72.0,11.0,15.3,23.5,2.6
2025-Q3,Bing,129,84.5,28.7,33.9,51.4,14.7
2025-Q3,Google,1947,80.1,24.1,30.1,32.1,7.8
2025-Q3,Meta,1605,74.6,18.6,25.0,22.1,4.1
2025-Q4,Bing,190,81.6,24.2,29.7,41.3,10.0
2025-Q4,Google,2402,77.4,23.6,30.4,32.3,7.6
2025-Q4,Meta,2217,65.3,15.2,23.3,21.1,3.2
2026-Q1,Bing,217,86.2,24.4,28.3,35.8,8.8
2026-Q1,Google,2535,77.7,25.8,33.2,25.2,6.5
2026-Q1,Meta,1924,64.8,14.3,22.1,21.1,3.0
2026-Q1,Organic/Other,128,82.8,32.0,38.7,36.6,11.7
2026-Q2,Bing,128,76.6,34.4,44.9,34.1,11.7
2026-Q2,Google,1368,76.7,33.0,43.1,23.2,7.7
2026-Q2,Meta,1266,67.4,17.1,25.4,20.7,3.6
2026-Q2,Organic/Other,143,32.2,17.5,54.3,16.0,2.8
2026-Q3,Google,175,65.1,33.7,51.8,10.2,3.4
2026-Q3,Meta,180,53.3,21.1,39.6,0.0,0.0
