month,rep,amount
2024-08,Traie,5240.0
2024-08,Kris,5184.0
2024-08,CHC,665.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,SamC,2436.0
2024-08,SamC,2955.5
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Gavin,2320.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,SamC,3100.0
2024-08,Kris,2515.0
2024-08,Niall,3050.0
2024-08,Gavin,3906.0
2024-08,Shane,3253.5
2024-08,Traie,4940.0
2024-08,Trustcare,14.99
2024-08,Kelly,7168.34
2024-08,Commercial,3326.0
2024-08,Trustcare,14.99
2024-08,Shane,3455.0
2024-08,Kris,5545.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Niall,3929.5
2024-08,SamC,4570.0
2024-08,Traie,4910.0
2024-08,Shane,3265.0
2024-08,Shane,4410.0
2024-08,Shane,4860.0
2024-08,Trustcare,14.99
2024-08,Niall,8450.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Gavin,3305.0
2024-08,Gavin,1965.5
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Shane,4290.0
2024-08,Shane,2515.0
2024-08,Shane,3205.0
2024-08,Kelly,4040.0
2024-08,Gavin,4266.0
2024-08,Gavin,4215.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Kris,5495.0
2024-08,Shane,3175.0
2024-08,Niall,5345.0
2024-08,Kris,2340.0
2024-08,Rob,2602.0
2024-08,Niall,3989.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Office,3530.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,SamC,1360.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Office,4190.0
2024-08,CHC,665.0
2024-08,Trustcare,14.99
2024-08,Kris,3275.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Traie,4490.0
2024-08,Trustcare,14.99
2024-08,Rob,3837.5
2024-08,SamC,4135.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Kelly,2390.0
2024-08,Trustcare,14.99
2024-08,Kris,3325.0
2024-08,Trustcare,14.99
2024-08,Gavin,7027.5
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,SamC,3330.0
2024-08,Office,4000.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Office,621.05
2024-08,Trustcare,14.99
2024-08,Shane,2848.0
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Trustcare,14.99
2024-08,Steve,3127.5
2024-08,Admin,100.0
2024-08,Gavin,5945.0
2024-08,CHC,670.0
