month,leads_w_phone,called_within_14d_pct,median_mins,p90_mins,pct_within_10min
2025-06,2004,82.9,866.0,4190.0,20.0
2025-07,1105,83.4,685.0,3860.0,28.6
2025-08,943,82.4,937.0,5633.0,21.4
2025-09,1691,80.1,790.0,5721.0,21.7
2025-10,1810,73.9,754.0,5927.0,22.8
2025-11,1838,71.3,716.0,3690.0,26.2
2025-12,1226,60.0,889.0,14723.0,24.5
2026-01,2183,69.7,862.0,7030.0,21.4
2026-02,1541,71.5,769.0,9296.0,27.8
2026-03,1119,70.5,833.0,7304.0,24.1
2026-04,1083,79.8,795.0,6009.0,27.7
2026-05,893,86.9,885.0,5233.0,24.6
2026-06,890,75.7,687.0,3631.0,24.5
2026-07,389,89.7,663.0,3734.0,30.9
