month,paid_spend,new_customers,blended_cac,revenue,mkt_pct_of_revenue
2025-01,48793.0,282,173.0,942305.0,5.2
2025-02,50186.0,114,440.0,395489.0,12.7
2025-03,74110.0,94,788.0,280456.0,26.4
2025-04,76584.0,133,576.0,546450.0,14.0
2025-05,74714.0,54,1384.0,200904.0,37.2
2025-06,76097.0,81,939.0,363044.0,21.0
2025-07,60829.0,115,529.0,424708.0,14.3
2025-08,52536.0,141,373.0,472858.0,11.1
2025-09,69097.0,149,464.0,471511.0,14.7
2025-10,84363.0,153,551.0,437354.0,19.3
2025-11,78435.0,200,392.0,577423.0,13.6
2025-12,57116.0,93,614.0,261354.0,21.9
2026-01,88813.0,146,608.0,453139.0,19.6
2026-02,79067.0,125,633.0,381129.0,20.7
2026-03,92388.0,126,733.0,388478.0,23.8
2026-04,90428.0,149,607.0,553786.0,16.3
2026-05,72815.0,69,1055.0,249938.0,29.1
2026-06,63520.0,92,690.0,399579.0,15.9
2026-07,32141.0,33,974.0,134917.0,23.8
