half,product_group,revenue,units,gross_margin_pct
2025-H1,Radiator - INTEGRATED THERMOSTAT,1924053.0,2292.0,63.4
2025-H1,Radiator - WIRELESS THERMOSTAT,349816.0,424.0,65.4
2025-H1,(ungrouped),349145.0,1858.0,100.0
2025-H1,Thermostats,42060.0,369.0,64.1
2025-H1,*Dont Use*,24223.0,92.0,67.1
2025-H1,Towel Rail,22020.0,81.0,72.8
2025-H2,Radiator - INTEGRATED THERMOSTAT,1900382.0,2424.0,59.8
2025-H2,(ungrouped),345989.0,2087.0,100.0
2025-H2,Radiator - WIRELESS THERMOSTAT,311759.0,392.0,63.4
2025-H2,Thermostats,50198.0,504.0,59.2
2026-H1,Radiator - INTEGRATED THERMOSTAT,1614829.0,1795.0,65.6
2026-H1,Radiator - WIRELESS THERMOSTAT,314458.0,368.0,66.5
2026-H1,(ungrouped),296516.0,1668.0,100.0
2026-H1,Water Heating,112537.0,27.0,81.9
2026-H1,Thermostats,44118.0,453.0,58.3
2026-H2,Radiator - INTEGRATED THERMOSTAT,92931.0,109.0,66.2
