pc_area,orders,revenue
,192,174790.0
NE,41,162044.0
YO,59,150133.0
LS,46,131604.0
B,39,119113.0
RG,29,109180.0
NR,26,107308.0
EX,35,95523.0
TR,27,95315.0
SA,28,79179.0
NG,23,77120.0
LL,23,74997.0
CA,23,74799.0
SY,27,74478.0
L,14,70658.0
CM,16,70055.0
PL,24,69504.0
SN,21,69064.0
TS,19,66040.0
S,23,64063.0
IP,24,63699.0
TQ,16,63271.0
G,11,63034.0
ST,18,60708.0
BN,21,60205.0
BS,18,60154.0
M,27,59592.0
WR,12,59363.0
PO,18,58829.0
LA,18,58202.0
DN,19,57378.0
NN,15,56812.0
TN,14,56518.0
GU,18,55778.0
DE,17,54809.0
LN,14,51612.0
CT,15,50490.0
GL,21,49577.0
BD,19,49483.0
CF,24,49312.0
SK,18,47674.0
W,10,47544.0
PE,21,45895.0
CV,15,45193.0
SG,13,44800.0
CH,17,43478.0
DT,11,43284.0
OX,18,42967.0
CO,15,42471.0
EH,14,42272.0
DY,9,42092.0
DL,12,41968.0
PR,18,41154.0
WA,19,39214.0
LE,14,38112.0
FY,14,37109.0
PA,10,36772.0
NP,10,34718.0
WF,13,33988.0
AB,10,33524.0
E,10,33230.0
BA,11,33114.0
SP,8,32732.0
OL,11,32642.0
BH,12,32481.0
SE,14,32478.0
FK,9,31857.0
SO,9,31665.0
WS,12,31451.0
HP,10,30196.0
MK,11,29509.0
LD,10,29454.0
BB,11,28614.0
ME,10,28129.0
EN,8,27584.0
RH,9,26988.0
IV,6,26333.0
TA,7,25803.0
HD,10,25314.0
KA,5,23380.0
WD,7,23312.0
HR,9,23095.0
HG,8,23094.0
RM,10,22641.0
DH,8,22091.0
TW,8,21510.0
BL,14,21021.0
DG,7,20847.0
AL,8,20801.0
CW,8,19735.0
WN,5,19462.0
CB,6,19079.0
SS,6,18866.0
SW,8,18756.0
KY,4,18444.0
DD,5,18310.0
PH,6,18306.0
DA,5,18115.0
LU,6,17922.0
CR,6,16809.0
HU,9,16039.0
IG,5,15161.0
SL,5,12790.0
HX,3,12476.0
BR,7,12470.0
TF,6,12370.0
HA,4,12200.0
ML,3,11742.0
SM,4,11144.0
N,4,10331.0
SR,2,9281.0
TD,3,6451.0
IM,3,6275.0
KT,3,6088.0
WV,3,5503.0
ZE,2,5365.0
BT,1,4323.0
GALE,2,2826.0
NW,1,2586.0
UB,1,2146.0
HS,1,500.0
