month,orders,revenue_exvat,aov
2025-01,295,942305.0,3194.0
2025-02,124,395489.0,3189.0
2025-03,102,280456.0,2750.0
2025-04,155,546450.0,3525.0
2025-05,57,200904.0,3525.0
2025-06,87,363044.0,4173.0
2025-07,132,424708.0,3217.0
2025-08,150,472858.0,3152.0
2025-09,157,471511.0,3003.0
2025-10,171,437354.0,2558.0
2025-11,224,577423.0,2578.0
2025-12,100,261354.0,2614.0
2026-01,182,453139.0,2490.0
2026-02,150,381129.0,2541.0
2026-03,147,388478.0,2643.0
2026-04,175,553786.0,3164.0
2026-05,81,249938.0,3086.0
2026-06,115,399579.0,3475.0
2026-07,43,134917.0,3138.0
