postcode_area,uk_region
AB,Scotland
AL,East of England
B,West Midlands
BA,South West
BB,North West
BD,Yorkshire and The Humber
BH,South West
BL,North West
BN,South East
BR,Greater London
BS,South West
BT,Northern Ireland
CA,North West
CB,East of England
CF,Wales
CH,North West
CM,East of England
CO,East of England
CR,Greater London
CT,South East
CV,West Midlands
CW,North West
DA,Greater London
DD,Scotland
DE,East Midlands
DG,Scotland
DH,North East
DL,North East
DN,Yorkshire and The Humber
DT,South West
DY,West Midlands
E,Greater London
EC,Greater London
EH,Scotland
EN,Greater London
EX,South West
FK,Scotland
FY,North West
G,Scotland
GL,South West
GU,South East
HA,Greater London
HD,Yorkshire and The Humber
HG,Yorkshire and The Humber
HP,South East
HR,West Midlands
HS,Scotland
HU,Yorkshire and The Humber
HX,Yorkshire and The Humber
IG,Greater London
IP,East of England
IV,Scotland
KA,Scotland
KT,Greater London
KW,Scotland
KY,Scotland
L,North West
LA,North West
LD,Wales
LE,East Midlands
LL,Wales
LN,East Midlands
LS,Yorkshire and The Humber
LU,East of England
M,North West
ME,South East
MK,East Midlands
ML,Scotland
N,Greater London
NE,North East
NG,East Midlands
NN,East Midlands
NP,Wales
NR,East of England
NW,Greater London
OL,North West
OX,South East
PA,Scotland
PE,East of England
PH,Scotland
PL,South West
PO,South East
PR,North West
RG,South East
RH,South East
RM,Greater London
S,Yorkshire and The Humber
SA,Wales
SE,Greater London
SG,East of England
SK,North West
SL,South East
SM,Greater London
SN,South West
SO,South East
SP,South West
SR,North East
SS,East of England
ST,West Midlands
SW,Greater London
SY,West Midlands
TA,South West
TD,Scotland
TF,West Midlands
TN,South East
TQ,South West
TR,South West
TS,North East
TW,Greater London
UB,Greater London
W,Greater London
WA,North West
WC,Greater London
WD,East of England
WF,Yorkshire and The Humber
WN,North West
WR,West Midlands
WS,West Midlands
WV,West Midlands
YO,Yorkshire and The Humber
ZE,Scotland
